Key,ShortName
1-IT|10-7|7.L.5b,1-IT|10-7|7.L.5b
1-IT|10-7|7.L.5c,1-IT|10-7|7.L.5c
1-IT|10-7|7.L.6,1-IT|10-7|7.L.6
1-IT|10-7|7.RI.4,1-IT|10-7|7.RI.4
1-IT|10-8|6-8.RH.4,1-IT|10-8|6-8.RH.4
1-IT|10-8|6-8.RST.4,1-IT|10-8|6-8.RST.4
1-IT|10-8|8.L.4a,1-IT|10-8|8.L.4a
1-IT|10-8|8.L.4b,1-IT|10-8|8.L.4b
1-IT|10-8|8.L.4c,1-IT|10-8|8.L.4c
1-IT|10-8|8.L.4d,1-IT|10-8|8.L.4d
1-IT|10-8|8.L.5b,1-IT|10-8|8.L.5b
1-IT|10-8|8.L.5c,1-IT|10-8|8.L.5c
1-IT|10-8|8.L.6,1-IT|10-8|8.L.6
1-IT|10-8|8.RI.4,1-IT|10-8|8.RI.4
1-IT|10-9|9.L.4a,1-IT|10-9|9.L.4a
1-IT|10-9|9.L.4b,1-IT|10-9|9.L.4b
1-IT|10-9|9.L.4c,1-IT|10-9|9.L.4c
1-IT|10-9|9.L.4d,1-IT|10-9|9.L.4d
1-IT|10-9|9.L.5b,1-IT|10-9|9.L.5b
1-IT|10-9|9.L.5c,1-IT|10-9|9.L.5c
1-IT|10-9|9.L.6,1-IT|10-9|9.L.6
1-IT|10-9|9.RI.4,1-IT|10-9|9.RI.4
1-IT|11-10|10.RI.6,1-IT|11-10|10.RI.6
1-IT|11-10|10.RI.8,1-IT|11-10|10.RI.8
1-IT|11-11|11-12.RH.6,1-IT|11-11|11-12.RH.6
1-IT|11-11|11-12.RH.8,1-IT|11-11|11-12.RH.8
1-IT|11-11|11-12.RI.6,1-IT|11-11|11-12.RI.6
1-IT|11-11|11-12.RI.8,1-IT|11-11|11-12.RI.8
1-IT|11-11|11-12.RST.6,1-IT|11-11|11-12.RST.6
1-IT|11-11|11-12.RST.8,1-IT|11-11|11-12.RST.8
1-IT|11-3|3.RI.6,1-IT|11-3|3.RI.6
1-IT|11-3|3.RI.8,1-IT|11-3|3.RI.8
1-IT|11-3|3.RI.9,1-IT|11-3|3.RI.9
